"RERO13S47","RERO19S47","RERO25S47","RERO12S47","RERO18S47","RERO24S47","RERO14S47","RERO20S47","RERO26S47","wustlid","xgrouprr","RERO6S47","PARTYID1S46","RERO9S47","RERO15S47","RERO21S47","RERO10S47","RERO16S47","RERO22S47","ppgender","ppethm","ppeducat","PARTYID2S46","PARTYID3S46","IDEOL1S46","POLKNOW1S30","POLKNOW2S30","POLKNOW3S30","POLKNOW5S30","POLKNOW6S30","POLKNOW7S30","POLKNOW12S30","POLKNOW13S30","POLKNOW17S30","POLKNOW18S30","POLKNOW21S30","POLKNOW22S30","POLKNOW23S30","POLKNOW24S30","POLKNOW25S30","ATTS7S27","IDEFS48","RERO7S47","ppagect4","oct2015wt1","income6","treatment","treatment2","pid3","pot.handling.binary","tax.handling.binary","defense.handling.binary","pot.handling","tax.handling","defense.handling","pot.candidate.binary","tax.candidate.binary","defense.candidate.binary","pot.candidate","tax.candidate","defense.candidate","pot.rol","tax.rol","defense.rol","pot.rol.binary","tax.rol.binary","defense.rol.binary","pot.leadership","tax.leadership","defense.leadership","pot.leadership.binary","tax.leadership.binary","defense.leadership.binary","pot.gtd","tax.gtd","defense.gtd","pot.gtd.binary","tax.gtd.binary","defense.gtd.binary","female","other","black","hispanic","college","age","pid7","pid7.rev","ideology7","ideology7.rev","correct1","correct2","correct3","correct5","correct6","correct7","correct8","correct9","correct10","correct11","correct12","correct13","correct14","correct15","correct16","sum.correct","pot.attitudes","defense.attitudes","tax.attitudes"
"extremely well","quite well","not too well","extremely well","quite well","not too well","quite well","quite well","not too well",996425,"5","Agree","Republican","strongly approve","approve","neither approve nor disapprove","very likely","somewhat likely","Refused",2,"White, Non-Hispanic","Some college","Not Very Strong",,"Don’t know","Democrats","a simple majority of both houses of Congress","six years","Don't know","Joseph Biden","two terms","life terms","Don't know","the benefit program for senior citizens","Medicare","Don't know","liberals","President","Democrat","is headed by the Secretary of the Treasury","strongly agree","Agree","Strongly agree","45-59",0.58,"$50,000-$79,999","bilateral",0,"gop",1,1,,5,4,3,1,1,,4,3,,4,3,2,1,1,0,4,3,2,1,1,0,3,3,2,1,1,0,1,0,0,0,0,"45-59",-2,2,,,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,-1.70555555555556,2,1,-2
"not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well",996426,"5","Neither Agree nor Disagree","Democrat","neither approve nor disapprove","neither approve nor disapprove","neither approve nor disapprove","somewhat likely","somewhat unlikely","somewhat unlikely",1,"Black, Non-Hispanic","Some college","Not Very Strong",,"Don’t know","Don't know","Don't know","eight years","Don't know","Joseph Biden","two terms","Don't know","Hillary Clinton","the benefit program for senior citizens","aid to foreign countries","Don't know","Don't know","Don't know","Democrat","Don't know","disagree","Agree","Neither Agree nor Disagree","30-44",0.56,"$50,000-$79,999","bilateral",0,"dem",,,,3,3,3,1,0,0,3,2,2,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,0,0,1,0,0,"30-44",2,-2,,,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,-5.70555555555556,-1,1,0
,,,,,,,,,996427,,,,,,,,,,2,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"60+",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"60+",,,,,,,,,,,,,,,,,,,,,,,
"quite well","not too well","not too well","quite well","not too well","not well at all","quite well","not too well","not well at all",996430,"5","Agree","Democrat","approve","disapprove","neither approve nor disapprove","somewhat likely","somewhat unlikely","somewhat unlikely",1,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Liberal","Republicans","a two-thirds majority of both houses of Congress","six years","suspension of the rules","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Don't know","a federation","conservatives","President","Democrat","was originally called the Bureau of the Budget","don't know","Disagree","Agree","60+",0.15,"$50,000-$79,999","bilateral",0,"dem",1,0,,4,2,3,1,0,0,3,2,2,3,2,2,1,0,0,3,2,1,1,0,0,3,2,1,1,0,0,0,0,0,0,1,"60+",2,-2,2,-2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,3.29444444444444,,-1,-1
"not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well",996431,"1","Disagree","Democrat","approve","disapprove","neither approve nor disapprove","somewhat likely","very unlikely","somewhat unlikely",2,"White, Non-Hispanic","Some college","Strong",,"Moderate","Don't know","a two-thirds majority of one house of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Don't know","Don't know","Don't know","President","Democrat","Don't know","agree","Disagree","Agree","45-59",0.66,"$50,000-$79,999","control",,"dem",1,0,,4,2,3,1,0,0,3,1,2,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,1,0,0,0,0,"45-59",3,-3,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,-0.705555555555556,1,-1,-1
,,,,,,,,,996433,,,,,,,,,,2,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"45-59",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"45-59",,,,,,,,,,,,,,,,,,,,,,,
"quite well","not too well","not too well","quite well","not too well","not too well","quite well","not well at all","not too well",996434,"1","Agree","Democrat","neither approve nor disapprove","disapprove","neither approve nor disapprove","somewhat unlikely","very unlikely","somewhat unlikely",1,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Liberal","Don't know","a two-thirds majority of both houses of Congress","four years","a filibuster","Joseph Biden","two terms","life terms","Refused","the benefit program for senior citizens","aid to foreign countries","a federation","Don't know","President","Democrat","Refused","neither agree nor disagree","Neither Agree nor Disagree","Strongly agree","60+",0.08,"$10,000-$29,999","control",,"dem",,0,,3,2,3,0,0,0,2,1,2,3,2,2,1,0,0,3,2,2,1,0,0,3,1,2,1,0,0,0,0,0,0,1,"60+",3,-3,2,-2,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,-0.705555555555556,0,0,-2
,,,,,,,,,996435,,,,,,,,,,2,"2+ Race, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"45-59",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,"45-59",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,996436,,,,,,,,,,2,"White, Non-Hispanic","Bachelor's degree or higher",,,,"Don't know","Don't know","four years","a veto","Joseph Biden","two terms","ten-year terms","John Roberts","the benefit program for senior citizens","Medicare","a unitary system","Don't know","President","Democrat","Don't know","agree",,,"60+",,"$10,000-$29,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,"60+",,,,,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,-2.70555555555556,1,,
"not too well","not too well","quite well","not too well","not too well","quite well","not too well","not too well","quite well",996437,"4","Disagree","Democrat","strongly disapprove","strongly disapprove","approve","very unlikely","very unlikely","somewhat likely",2,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Liberal","Republicans","a two-thirds majority of both houses of Congress","four years","Don't know","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Don't know","Don't know","conservatives","President","Democrat","Don't know","agree","Agree","Strongly agree","60+",0.45,"$50,000-$79,999","unilateral",1,"dem",0,0,1,1,1,4,0,0,1,1,1,3,2,2,3,0,0,1,2,2,3,0,0,1,2,2,3,0,0,1,1,0,0,0,1,"60+",3,-3,2,-2,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0.294444444444444,1,1,-2
"quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well",996438,"6","Neither Agree nor Disagree","Independent","approve","disapprove","strongly disapprove","somewhat likely","somewhat unlikely","very unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher",,"Democratic Party","Liberal","Republicans","a two-thirds majority of both houses of Congress","four years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","was originally called the Bureau of the Budget","neither agree nor disagree","Disagree","Agree","60+",1.54,"$100,000 or more","bilateral",0,"ind",1,0,0,4,2,1,1,0,0,3,2,1,3,3,3,1,1,1,3,3,3,1,1,1,3,3,3,1,1,1,1,0,0,0,1,"60+",1,-1,2,-2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4.29444444444444,0,-1,-1
"quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well","quite well",996439,"6","Disagree","Republican","neither approve nor disapprove","approve","approve","somewhat likely","somewhat likely","somewhat likely",1,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Conservative","Republicans","a two-thirds majority of one house of Congress","six years","enrollment","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","aid to foreign countries","Don't know","conservatives","President","Democrat","is headed by the Secretary of the Treasury","strongly disagree","Agree","Neither Agree nor Disagree","60+",0.15,"$10,000-$29,999","bilateral",0,"gop",,1,1,3,4,4,1,1,1,3,3,3,3,3,3,1,1,1,3,3,3,1,1,1,3,3,3,1,1,1,0,0,0,0,1,"60+",-3,3,-2,2,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0.294444444444444,-2,1,0
,,,,,,,,,996440,,,,,,,,,,1,"White, Non-Hispanic","Less than high school",,,,,,,,,,,,,,,,,,,,,,"45-59",,"$10,000-$29,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"45-59",,,,,,,,,,,,,,,,,,,,,,,
"Refused","Refused","Refused","Refused","Refused","Refused","Refused","Refused","Refused",996441,"4","Refused","Refused","Refused","Refused","Refused","Refused","Refused","Refused",2,"Black, Non-Hispanic","Some college",,,"Refused","Don't know","Don't know","Don't know","a veto","Joseph Biden","two terms","Don't know","Don't know","Don't know","Don't know","Don't know","Refused","Don't know","Democrat","Don't know","strongly disagree","Neither Agree nor Disagree","Refused","30-44",3.92,"$80,000-$99,999","unilateral",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,"30-44",,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,-6.70555555555556,-2,0,
"Refused","Refused","Refused","Refused","Refused","Refused","Refused","Refused","Refused",996442,"2","Disagree","Independent","approve","disapprove","disapprove","somewhat likely","somewhat likely","somewhat unlikely",1,"White, Non-Hispanic","Bachelor's degree or higher",,"Democratic Party","Slightly liberal","Republicans","a two-thirds majority of both houses of Congress","six years","suspension of the rules","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a confederation","conservatives","President","Democrat","Don't know","agree","Strongly Disagree","Strongly agree","60+",0.24,"$80,000-$99,999","control",,"ind",1,0,0,4,2,2,1,1,0,3,3,2,,,,,,,,,,,,,,,,,,,0,0,0,0,1,"60+",1,-1,1,-1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,2.29444444444444,1,-2,-2
"quite well","not well at all","quite well","extremely well","not well at all","extremely well","extremely well","not too well","extremely well",996443,"4","Disagree","Democrat","approve","strongly disapprove","approve","somewhat likely","very unlikely","somewhat likely",1,"2+ Race, Non-Hispanic","Bachelor's degree or higher","Strong",,"Liberal",,,,,,,,,,,,,,,,"neither agree nor disagree","Agree","Strongly agree","60+",0.15,"$50,000-$79,999","unilateral",1,"dem",1,0,1,4,1,4,1,0,1,3,1,3,3,1,3,1,0,1,4,1,4,1,0,1,4,2,4,1,0,1,0,1,0,0,1,"60+",3,-3,2,-2,,,,,,,,,,,,,,,,,0,1,-2
,,,,,,,,,996444,,,,,,,,,,2,"White, Non-Hispanic","Less than high school",,,,,,,,,,,,,,,,,,,,,,"45-59",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"45-59",,,,,,,,,,,,,,,,,,,,,,,
"not too well","not too well","not too well","extremely well","quite well","quite well","quite well","quite well","quite well",996445,"3","Agree","Democrat","strongly approve","strongly disapprove","disapprove","very likely","very unlikely","somewhat unlikely",1,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Liberal","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","is an arm of Congress","neither agree nor disagree","Disagree","Strongly agree","60+",0.58,"$100,000 or more","unilateral",1,"dem",1,0,0,5,1,2,1,0,0,4,1,2,2,2,2,0,0,0,4,3,3,1,1,1,3,3,3,1,1,1,0,0,0,0,1,"60+",3,-3,2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4.29444444444444,0,-1,-2
,,,,,,,,,996446,,,"Democrat",,,,,,,2,"Hispanic","Bachelor's degree or higher","Not Very Strong",,"Moderate","Democrats","a two-thirds majority of both houses of Congress","eight years","a veto","Joseph Biden","two terms","life terms","Antoni Scalia","the benefit program for senior citizens","aid to foreign countries","a federation","Don't know","President","Democrat","was originally called the Bureau of the Budget","neither agree nor disagree","Agree",,"30-44",,"Under $10,000",,,"dem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,"30-44",2,-2,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,-0.705555555555556,0,1,
"not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well",996447,"6","Disagree","Independent","neither approve nor disapprove","neither approve nor disapprove","neither approve nor disapprove","somewhat unlikely","somewhat likely","somewhat unlikely",1,"White, Non-Hispanic","Some college",,"Republican Party","Slightly conservative","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","Don't know","conservatives","President","Democrat","Don't know","disagree","Agree","Neither Agree nor Disagree","60+",0.08,"$10,000-$29,999","bilateral",0,"ind",,,,3,3,3,0,1,0,2,3,2,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,"60+",-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,3.29444444444444,-1,1,0
"not well at all","not too well","not too well","not well at all","not too well","not well at all","not well at all","not too well","not well at all",996448,"6","Neither Agree nor Disagree","Democrat","disapprove","disapprove","disapprove","very unlikely","somewhat unlikely","very unlikely",2,"Black, Non-Hispanic","Some college","Strong",,"Moderate","Democrats","a simple majority of both houses of Congress","Don't know","a filibuster","Joseph Biden","two terms","terms determined by the president","Don't know","funded by the personal income tax","aid to foreign countries","Don't know","Don't know","Vice President","Democrat","Don't know","strongly agree","Neither Agree nor Disagree","Strongly agree","60+",0.33,"$10,000-$29,999","bilateral",0,"dem",0,0,0,2,2,2,0,0,0,1,2,1,1,2,2,0,0,0,1,2,1,0,0,0,1,2,1,0,0,0,1,0,1,0,0,"60+",3,-3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,-5.70555555555556,2,0,-2
,,,,,,,,,996450,,,,,,,,,,2,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"60+",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"60+",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,996451,,,,,,,,,,2,"White, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"60+",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,"60+",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,996452,,,,,,,,,,2,"Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"30-44",,"$30,000-$49,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,"30-44",,,,,,,,,,,,,,,,,,,,,,,
"extremely well","extremely well","not too well","not too well","not too well","not too well","quite well","quite well","not too well",996453,"6","Disagree","Republican","approve","neither approve nor disapprove","neither approve nor disapprove","somewhat unlikely","somewhat unlikely","somewhat unlikely",2,"White, Non-Hispanic","Some college","Not Very Strong",,"Liberal","Republicans","a two-thirds majority of both houses of Congress","six years","a veto","Joseph Biden","two terms","life terms","Don't know","the benefit program for senior citizens","Don't know","a federation","Don't know","President","Democrat","Don't know","agree","Neither Agree nor Disagree","Agree","60+",0.22,"$10,000-$29,999","bilateral",0,"gop",1,,,4,3,3,0,0,0,2,2,2,4,4,2,1,1,0,2,2,2,0,0,0,3,3,2,1,1,0,1,0,0,0,0,"60+",-2,2,2,-2,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0.294444444444444,1,0,-1
"extremely well","not too well","not too well","extremely well","not too well","not too well","extremely well","not too well","not too well",996454,"3","Agree","Democrat","strongly approve","strongly disapprove","disapprove","somewhat likely","very unlikely","somewhat unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Liberal","Republicans","a two-thirds majority of both houses of Congress","four years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","subsidies to farmers","a federation","conservatives","President","Democrat","Don't know","agree","Strongly Disagree","Strongly agree","60+",0.13,"$50,000-$79,999","unilateral",1,"dem",1,0,0,5,1,2,1,0,0,3,1,2,4,2,2,1,0,0,4,2,2,1,0,0,4,2,2,1,0,0,1,0,0,0,1,"60+",3,-3,2,-2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,2.29444444444444,1,-2,-2
"not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all",996455,"5","Strongly Disagree","Independent","neither approve nor disapprove","neither approve nor disapprove","neither approve nor disapprove","very unlikely","somewhat likely","somewhat unlikely",2,"Hispanic","Bachelor's degree or higher",,"Republican Party","Conservative","Democrats","a two-thirds majority of both houses of Congress","two years","a veto","Joseph Biden","two terms","life terms","Don't know","funded by the personal income tax","Medicare","a federation","conservatives","President","Democrat","is the newest department of the federal government","strongly disagree","Agree","Strongly agree","45-59",0.23,"$80,000-$99,999","bilateral",0,"ind",,,,3,3,3,0,1,0,1,3,2,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,"45-59",-1,1,-2,2,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,-0.705555555555556,-2,1,-2
,,,,,,,,,996456,,,"Republican",,,,,,,2,"Other, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Don’t know",,,,,,,,,,,,,,,,,"Neither Agree nor Disagree",,"30-44",,"$100,000 or more",,,"gop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,"30-44",-2,2,,,,,,,,,,,,,,,,,,,,0,
"not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all","not well at all",996457,"4","Strongly Disagree","Republican","strongly disapprove","strongly disapprove","strongly disapprove","very unlikely","very unlikely","very unlikely",1,"White, Non-Hispanic","Some college","Strong",,"Conservative","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","is an arm of Congress","strongly disagree","Strongly Agree","Disagree","60+",1.28,"$100,000 or more","unilateral",1,"gop",0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"60+",-3,3,-2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4.29444444444444,-2,2,1
"not too well","not too well","not too well","not too well","not too well","not well at all","not too well","not too well","not too well",996458,"2","Neither Agree nor Disagree","Democrat","approve","disapprove","disapprove","somewhat likely","somewhat unlikely","somewhat unlikely",2,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Very liberal","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","subsidies to farmers","a federation","conservatives","President","Democrat","is headed by the Secretary of the Treasury","neither agree nor disagree","Disagree","Strongly agree","45-59",0.34,"$50,000-$79,999","control",,"dem",1,0,0,4,2,2,1,0,0,3,2,2,2,2,2,0,0,0,2,2,1,0,0,0,2,2,2,0,0,0,1,0,0,0,1,"45-59",3,-3,3,-3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,3.29444444444444,0,-1,-2
"not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well","not too well",996460,"3","Strongly Disagree","Republican","approve","disapprove","approve","somewhat likely","somewhat unlikely","somewhat likely",2,"White, Non-Hispanic","High school","Strong",,"Moderate","Republicans","a two-thirds majority of both houses of Congress","Don't know","a veto","Joseph Biden","two terms","Don't know","Don't know","funded by the personal income tax","aid to foreign countries","Don't know","conservatives","President","Democrat","Don't know","neither agree nor disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","45-59",0.96,"$30,000-$49,999","unilateral",1,"gop",1,0,1,4,2,4,1,0,1,3,2,3,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,1,0,0,0,0,"45-59",-3,3,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,-2.70555555555556,0,0,0
"quite well","quite well","quite well","Refused","quite well","quite well","quite well","Refused","quite well",996461,"2","Strongly Disagree","Republican","approve","approve","approve","somewhat likely","somewhat likely","somewhat likely",1,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Slightly conservative","Republicans","a two-thirds majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","is headed by the Secretary of the Treasury","strongly disagree","Agree","Agree","60+",0.22,"$50,000-$79,999","control",,"gop",1,1,1,4,4,4,1,1,1,3,3,3,3,3,3,1,1,1,,3,3,,1,1,3,,3,1,,1,0,0,0,0,1,"60+",-2,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4.29444444444444,-2,1,-1
,,,,,,,,,996736,,,,,,,,,,2,"Hispanic","Less than high school",,,,,,,,,,,,,,,,,,,,,,"30-44",,"$10,000-$29,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,"30-44",,,,,,,,,,,,,,,,,,,,,,,
"quite well","not too well","not too well","quite well","not too well","quite well","quite well","not too well","quite well",996737,"5","Neither Agree nor Disagree","Democrat","neither approve nor disapprove","disapprove","neither approve nor disapprove","somewhat likely","somewhat unlikely","somewhat likely",1,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Moderate","Republicans","Don't know","Don't know","a filibuster","Joseph Biden","two terms","Don't know","Don't know","the benefit program for senior citizens","Don't know","Don't know","Don't know","President","Democrat","is the newest department of the federal government","neither agree nor disagree","Neither Agree nor Disagree","Agree","45-59",0.52,"Under $10,000","bilateral",0,"dem",,0,,3,2,3,1,0,1,3,2,3,3,2,2,1,0,0,3,2,3,1,0,1,3,2,3,1,0,1,0,0,0,0,1,"45-59",2,-2,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,-2.70555555555556,0,0,-1
"quite well","not too well","quite well","quite well","not too well","quite well","quite well","not too well","quite well",996738,"1","Neither Agree nor Disagree","Independent","neither approve nor disapprove","neither approve nor disapprove","neither approve nor disapprove","somewhat likely","somewhat unlikely","somewhat unlikely",1,"White, Non-Hispanic","Some college",,"Democratic Party","Moderate","Don't know","a two-thirds majority of both houses of Congress","Don't know","Don't know","Joseph Biden","two terms","life terms","Antoni Scalia","the benefit program for senior citizens","aid to foreign countries","Don't know","conservatives","President","Democrat","Don't know","strongly agree","Neither Agree nor Disagree","Neither Agree nor Disagree","60+",0.59,"$10,000-$29,999","control",,"ind",,,,3,3,3,1,0,0,3,2,2,3,2,3,1,0,1,3,2,3,1,0,1,3,2,3,1,0,1,0,0,0,0,0,"60+",1,-1,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,-1.70555555555556,2,0,0
,,,,,,,,,996739,,,,,,,,,,1,"White, Non-Hispanic","High school",,,,,,,,,,,,,,,,,,,,,,"60+",,"Under $10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,"60+",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,996740,,,,,,,,,,2,"Black, Non-Hispanic","Some college",,,,,,,,,,,,,,,,,,,,,,"60+",,"$50,000-$79,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,"60+",,,,,,,,,,,,,,,,,,,,,,,
"not well at all","not too well","not too well","not well at all","quite well","not too well","not well at all","not too well","not too well",996741,"2","Neither Agree nor Disagree","Other, please specify:","neither approve nor disapprove","neither approve nor disapprove","neither approve nor disapprove","somewhat likely","somewhat likely","somewhat likely",2,"Other, Non-Hispanic","Some college",,,"Don’t know","Don't know","a two-thirds majority of both houses of Congress","Don't know","Refused","Joseph Biden","two terms","life terms","Hillary Clinton","funded by the personal income tax","Don't know","Don't know","conservatives","President","Democrat","Don't know","strongly agree","Strongly Agree","Strongly Disagree","45-59",3.53,"$100,000 or more","control",,,,,,3,3,3,1,1,1,3,3,3,1,2,2,0,0,0,1,3,2,0,1,0,1,2,2,0,0,0,1,1,0,0,0,"45-59",,,,,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,-2.70555555555556,2,2,2
,,,,,,,,,996742,,,,,,,,,,2,"White, Non-Hispanic","Bachelor's degree or higher",,,,,,,,,,,,,,,,,,,,,,"30-44",,"$100,000 or more",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,"30-44",,,,,,,,,,,,,,,,,,,,,,,
"not well at all","quite well","not well at all","not well at all","quite well","not too well","not well at all","quite well","not too well",996743,"3","Neither Agree nor Disagree","Republican","disapprove","strongly approve","disapprove","very unlikely","somewhat likely","somewhat unlikely",1,"White, Non-Hispanic","Bachelor's degree or higher","Strong",,"Conservative","Republicans","a simple majority of both houses of Congress","six years","a filibuster","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","Don't know","disagree","Strongly Agree","Disagree","60+",0.11,"$50,000-$79,999","unilateral",1,"gop",0,1,0,2,5,2,0,1,0,1,3,2,1,3,1,0,1,0,1,3,2,0,1,0,1,3,2,0,1,0,0,0,0,0,1,"60+",-3,3,-2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,3.29444444444444,-1,2,1
"quite well","not too well","quite well","quite well","quite well","quite well","quite well","quite well","quite well",996744,"3","Strongly Disagree","Republican","approve","strongly disapprove","neither approve nor disapprove","somewhat likely","very unlikely","somewhat likely",1,"White, Non-Hispanic","Bachelor's degree or higher","Not Very Strong",,"Slightly conservative","Republicans","a two-thirds majority of both houses of Congress","six years","Don't know","Joseph Biden","two terms","life terms","John Roberts","the benefit program for senior citizens","Medicare","a federation","conservatives","President","Democrat","is an arm of Congress","strongly agree","Agree","Agree","60+",0.33,"$100,000 or more","unilateral",1,"gop",1,0,,4,1,3,1,0,1,3,1,3,3,2,3,1,0,1,3,3,3,1,1,1,3,3,3,1,1,1,0,0,0,0,1,"60+",-2,2,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,3.29444444444444,2,1,-1
